,roc_auc
105,0.8431154794283147
106,0.8267578684529767
107,0.8347845923683344
108,0.8447202936942736
109,0.847833544950715
110,0.8465205150967486
111,0.8407069317365947
112,0.8542183184022238
113,0.8435283985810436
114,0.8447326724269036
115,0.8396609288293609
116,0.8395893090191445
117,0.8399898494392435
118,0.8608948762657255
119,0.8436742907870398
120,0.8536595070434988
121,0.8500714429711788
122,0.8475665180039823
123,0.857210434917929
124,0.8413152580258397
125,0.850217335177175
126,0.8381648705715085
127,0.8300417693806743
128,0.846228730684756
129,0.8338844816670968
130,0.8513844728251451
131,0.8368270832522821
132,0.8330091284311194
133,0.8399898494392435
134,0.8364141640995534
135,0.8544137255387402
136,0.8334344263164782
137,0.8369729754582783
138,0.8402568763859759
139,0.8324008021418743
140,0.8246534839058792
141,0.8465081363641187
142,0.8317677183873695
143,0.8581476818170565
144,0.8569186505059364
145,0.8521510700530164
146,0.847845923683345
147,0.8508380401990501
148,0.8392232522113722
149,0.8329719922332295
150,0.8515675012290314
151,0.8528929098156275
152,0.8517257721676574
153,0.8333009128431119
154,0.8550096730953551
155,0.8524676119302689
156,0.8493172244759374
157,0.8421906112618172
158,0.8283874401841954
159,0.8215402326494379
160,0.8386520621200171
161,0.8233280753192829
162,0.8254077024011204
163,0.8395274153559946
164,0.8395397940886247
165,0.8392232522113722
166,0.8328632362251231
167,0.8454868909221449
168,0.8321090177298819
169,0.8511298246110425
170,0.847845923683345
171,0.8420694765210809
172,0.8212484482374452
173,0.841461150231836
174,0.8436742907870398
175,0.8465328938293786
176,0.8347845923683344
177,0.8643370481320491
178,0.8239487803411579
179,0.835684703069572
180,0.8242405647531503
181,0.840269255118606
182,0.8465205150967486
183,0.8364017853669232
184,0.8485630059806962
185,0.8497920372918162
186,0.8349304845743306
187,0.8469458129821074
188,0.8291292799468069
189,0.8509839324050463
190,0.8522969622590124
191,0.84842949250733
192,0.8396733075619909
193,0.8500714429711788
194,0.8468122995087412
195,0.8515427437637714
196,0.8306253382046593
197,0.8392232522113722
198,0.8524552331976388
199,0.8620867713789555
200,0.8369853541909084
201,0.8260407861556254
202,0.8615279600202304
203,0.857818761207174
204,0.8307464729453955
205,0.835684703069572
206,0.838056114563402
207,0.8523093409916425
208,0.8527470176096313
209,0.8436742907870398
210,0.8523217197242725
211,0.8546683737528427
212,0.8401357416452396
213,0.8298711197094181
214,0.8505214983217975
215,0.837472545739417
216,0.836268271893557
217,0.8371560038621646
218,0.8570645427119327
219,0.843236614169051
220,0.8482959790339637
221,0.836268271893557
222,0.8456080256628811
223,0.8479794371567111
224,0.8475417605387223
225,0.8429448297570585
226,0.8322425312032482
227,0.8447326724269036
228,0.8358058378103083
229,0.845012078106266
