,r2
386,0.6755965845931184
387,0.6622401886456052
388,0.6711003911672686
389,0.6714059760058169
390,0.6677033484102264
391,0.6670454508742851
392,0.6813674709865375
393,0.6796498449713795
394,0.6838631595137625
395,0.6540719412062858
396,0.6660912391900602
397,0.6732788796043894
398,0.6585672845041493
399,0.6680525375431963
400,0.6643644569489824
401,0.6823219406234482
402,0.652736564894638
403,0.6512175689946479
404,0.6535941732395053
405,0.6412130489505736
406,0.6669250263161993
407,0.6702154645763616
408,0.6580727399410219
409,0.6673709128077947
410,0.6738002228799856
411,0.6685037968696097
412,0.6696346681996802
413,0.6400318355008879
414,0.6798407003508722
415,0.6863194818588861
416,0.6618945578642884
417,0.6843792196736602
418,0.686424590545359
419,0.6631455670968778
420,0.668089993543004
421,0.6811330371431628
422,0.673783434930044
423,0.7032048181312736
424,0.6811637830274541
425,0.6697240840335082
426,0.6566947800330731
427,0.6598987852494076
428,0.6685385448313792
429,0.6631490007263972
430,0.6791562277529459
431,0.6630745076384836
432,0.6624635257927467
433,0.6638017659339155
434,0.6757054969702183
435,0.6647755749654537
436,0.665170580835833
437,0.6685229300726006
438,0.6798668101973632
439,0.6838848400658084
440,0.670603172007026
441,0.6671803088013761
442,0.6808330627123979
443,0.6662144674425072
444,0.6652955320494062
445,0.6795966445693413
446,0.6824013822659023
447,0.6748237006081759
448,0.6666893300269613
449,0.6846428595411733
450,0.6667261776977282
451,0.6626109415308443
452,0.6738503242077188
453,0.6742386039583272
454,0.6643111582665806
455,0.6614202065077859
456,0.6908984883468627
457,0.666573694052637
458,0.6982850917421347
459,0.6665494776307039
460,0.6762657761314514
461,0.6776652993893508
462,0.6552173472064702
463,0.6524532910979829
464,0.6506300569540457
465,0.6728032631405267
466,0.6488664155112143
467,0.6742482237239249
468,0.668433721095919
469,0.6645000062439358
470,0.6766249792285584
471,0.6542482212145417
472,0.6746719902629854
473,0.6874035075091743
474,0.6614435825437928
475,0.683208931945637
476,0.660151661609268
477,0.6593518440592095
